CPU0_FREQ, CPU1_FREQ, CPU2_FREQ, CPU3_FREQ, CPU4_FREQ, CPU5_FREQ, CPU6_FREQ, CPU7_FREQ, A15_W, A7_W, MEM_W, GPU_W
1000, 1000, 1000, 1000, 1200, 1200, 1200, 2000, 0.268926, 0.079570, 0.092340, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.268926, 0.080660, 0.089910, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.268926, 0.080660, 0.089910, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.268926, 0.079570, 0.089910, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.267915, 0.079570, 0.088695, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.267915, 0.079570, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.294175, 0.079570, 0.093555, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.267915, 0.079570, 0.093555, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.267915, 0.079570, 0.091125, 0.002373
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.268926, 0.079570, 0.091125, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 1.765477, 0.147312, 0.126464, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 2.206040, 0.243780, 0.086265, 0.003164
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.274992, 0.404300, 0.087480, 0.003164
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.272970, 0.403000, 0.086265, 0.003164
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.270948, 0.400400, 0.087480, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.269937, 0.404976, 0.087480, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.269937, 0.397188, 0.085050, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.269937, 0.397800, 0.085050, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.399100, 0.085050, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.396500, 0.086265, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.393900, 0.067928, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.396500, 0.068040, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.066825, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.288135, 0.393900, 0.065610, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.065610, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.393900, 0.066825, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.068040, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.067928, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.066825, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.065502, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.065610, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.393900, 0.065610, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.065502, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.392600, 0.066715, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.392600, 0.067928, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.393900, 0.067928, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.393900, 0.065502, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.393900, 0.065610, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.267915, 0.393900, 0.066825, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.392600, 0.065610, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.268926, 0.393900, 0.066825, 0.002370
