CPU0_FREQ, CPU1_FREQ, CPU2_FREQ, CPU3_FREQ, CPU4_FREQ, CPU5_FREQ, CPU6_FREQ, CPU7_FREQ, A15_W, A7_W, MEM_W, GPU_W
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.268926, 0.082840, 0.087480, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.352490, 0.087200, 0.093555, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.415338, 0.087200, 0.093555, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.358248, 0.090470, 0.089910, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.355520, 0.090470, 0.092340, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.338350, 0.090470, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.371050, 0.091560, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.342729, 0.087200, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.348450, 0.089380, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.354510, 0.089380, 0.089910, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.356883, 0.091560, 0.095985, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.352490, 0.091560, 0.092340, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.493558, 0.092650, 0.092340, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.408330, 0.090470, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.345762, 0.088290, 0.094770, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.352490, 0.086110, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.444360, 0.090470, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.357894, 0.091560, 0.092340, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.349806, 0.090470, 0.092340, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.652548, 0.093740, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.320487, 0.090470, 0.093555, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.362590, 0.090470, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.602770, 0.092650, 0.093555, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.354861, 0.091560, 0.093555, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.352839, 0.088290, 0.092340, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.390528, 0.092650, 0.091125, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.470671, 0.091560, 0.093555, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.354861, 0.091560, 0.091125, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.404368, 0.085020, 0.092340, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.373606, 0.093740, 0.094770, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.349460, 0.091560, 0.091125, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.353500, 0.090470, 0.092340, 0.002370
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 1.682538, 0.162300, 0.104576, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 1200, 1200, 2.192435, 0.117396, 0.116736, 0.002373
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.789950, 0.116309, 0.109440, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.650260, 0.241400, 0.115520, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 1.450800, 0.137040, 0.099712, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.354510, 0.093740, 0.094770, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.364610, 0.098917, 0.094770, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 1.423235, 0.097920, 0.103360, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 1.257363, 0.095920, 0.097200, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.355520, 0.086110, 0.094770, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.450210, 0.093740, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.357540, 0.156330, 0.097200, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.481780, 0.088290, 0.088695, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.359560, 0.091560, 0.095985, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.357540, 0.091560, 0.093555, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.336330, 0.090470, 0.092340, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.656019, 0.090470, 0.095985, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.345420, 0.088290, 0.091125, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.364610, 0.126768, 0.091125, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.624726, 0.495360, 0.099630, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.798060, 0.149093, 0.174174, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.563238, 0.372710, 0.091125, 0.016611
1200, 1200, 1200, 1200, 2000, 2000, 2000, 2000, 1.611880, 0.549928, 0.190008, 0.521050
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 2.587914, 0.549928, 0.244617, 0.165064
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 2.424039, 0.226751, 0.131328, 0.003164
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.616550, 0.212412, 0.093555, 0.003160
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.271959, 0.409500, 0.084910, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.271959, 0.412100, 0.086123, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.607040, 0.421850, 0.091125, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.329260, 0.418600, 0.089910, 0.002370
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.303300, 0.414062, 0.093555, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.345420, 0.413400, 0.100845, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.660098, 0.458194, 0.089910, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.346430, 0.416658, 0.088695, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.391880, 0.425100, 0.092340, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.353500, 0.419254, 0.091125, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.340370, 0.411466, 0.092340, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.303300, 0.164304, 0.092340, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.387840, 0.088290, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.268926, 0.096743, 0.085050, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.574470, 0.089380, 0.091125, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.347440, 0.086110, 0.087480, 0.002370
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.358550, 0.094656, 0.087480, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.629242, 0.093740, 0.088695, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.353500, 0.090470, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.351480, 0.089380, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.321498, 0.089380, 0.088695, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.349460, 0.086110, 0.091125, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.358550, 0.086110, 0.087480, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.390870, 0.093568, 0.087480, 0.006320
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.357540, 0.091308, 0.082620, 0.004746
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.346430, 0.090470, 0.072900, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.518714, 0.091392, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.351480, 0.088128, 0.075330, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.351480, 0.089380, 0.070354, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.354861, 0.087200, 0.066825, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.352490, 0.089380, 0.071567, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.617148, 0.087200, 0.070470, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.355872, 0.391552, 0.072780, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.331280, 0.404300, 0.076419, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.340370, 0.404300, 0.071567, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.343400, 0.403000, 0.071567, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.351480, 0.406900, 0.071567, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.585340, 0.408200, 0.070354, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.352490, 0.409500, 0.073993, 0.002373
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.350470, 0.418600, 0.075206, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.563066, 0.409500, 0.071685, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.333072, 0.475068, 0.083835, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.334310, 0.403000, 0.073993, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.378000, 0.413400, 0.069141, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.355520, 0.406900, 0.073993, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.357540, 0.408200, 0.074115, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.342390, 0.412100, 0.072900, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.685536, 0.410800, 0.072780, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.304311, 0.406900, 0.071567, 0.002370
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.351480, 0.408200, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.601120, 0.329013, 0.070470, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.364610, 0.089380, 0.071567, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.343400, 0.089380, 0.071685, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.399960, 0.089380, 0.071685, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.305322, 0.089380, 0.072780, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.337340, 0.085020, 0.071567, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.542676, 0.085020, 0.070354, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.542676, 0.093568, 0.073993, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.363600, 0.088290, 0.069141, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.351480, 0.088290, 0.070354, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.610508, 0.091560, 0.074115, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.323200, 0.088290, 0.070470, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.298245, 0.085020, 0.070470, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.359560, 0.083930, 0.074115, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.802112, 0.090470, 0.068040, 0.002370
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.354510, 0.086110, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.369660, 0.089380, 0.072900, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.701484, 0.089380, 0.070470, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.315432, 0.088290, 0.070470, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.323520, 0.082840, 0.074115, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.488376, 0.086110, 0.068040, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.351480, 0.089380, 0.072900, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.358550, 0.087200, 0.072900, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.621528, 0.203058, 0.072900, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.346430, 0.406900, 0.071567, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.311080, 0.419900, 0.075206, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.378000, 0.404300, 0.074115, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.353500, 0.409500, 0.070354, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.355520, 0.406274, 0.070354, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.347440, 0.410800, 0.074115, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.686664, 0.410800, 0.074115, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.355520, 0.410800, 0.071685, 0.002373
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.400545, 0.403000, 0.072780, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.527528, 0.403000, 0.072900, 0.007910
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.358550, 0.427700, 0.076545, 0.003164
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.350470, 0.410800, 0.070354, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.393900, 0.409500, 0.071685, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.393900, 0.412100, 0.073993, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.342390, 0.412100, 0.071685, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.314110, 0.409500, 0.071567, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.525980, 0.405600, 0.076545, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.360570, 0.406900, 0.070354, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.346430, 0.410800, 0.068040, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.358550, 0.170940, 0.072900, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.360570, 0.091560, 0.070470, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.340370, 0.090470, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.318150, 0.089380, 0.074115, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.353500, 0.082840, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.349460, 0.088290, 0.068040, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.451560, 0.095920, 0.075330, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.454398, 0.088290, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.348450, 0.089380, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.337340, 0.089380, 0.072900, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.539980, 0.085020, 0.074115, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.354510, 0.089380, 0.070470, 0.002373
1000, 1000, 1000, 1000, 2000, 2000, 2000, 2000, 0.350470, 0.090470, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.598929, 0.088290, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.358550, 0.089380, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.345420, 0.088290, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.338350, 0.090470, 0.072900, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.342390, 0.086110, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.359560, 0.090470, 0.071685, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.388584, 0.089380, 0.069255, 0.002373
1000, 1000, 1000, 1000, 1200, 1200, 1200, 1200, 0.530670, 0.089380, 0.071685, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.347440, 0.132582, 0.074115, 0.002373
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.353500, 0.354888, 0.071685, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.553413, 0.410800, 0.073993, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.361530, 0.400400, 0.075206, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.342390, 0.401700, 0.071567, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.358550, 0.409500, 0.067928, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.640131, 0.413400, 0.072780, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.353500, 0.406900, 0.072780, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.360570, 0.413400, 0.072780, 0.002370
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.572520, 0.413400, 0.075206, 0.002373
1500, 1500, 1500, 1500, 1200, 1200, 1200, 1200, 0.299256, 0.403000, 0.072780, 0.002373
1500, 1500, 1500, 1500, 2000, 2000, 2000, 2000, 0.351480, 0.404300, 0.069141, 0.002373
